,,,,,,,,,,,,
,Rumpfprogramm,,Anina Casty,,,Trainer,Sandro Viletta,,,,,
,,,,,,,,,,,,
1,Zeit,,60,60,60,,,Datum,Datum,,,
Plank statisch halten,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Pause,,15 sec,15 sec ,15 sec ,,,,,,,
,,,,,,,,,,,,m
2,Zeit,,60,60,60,,,Bemerkung,Technik,,,
Reverse Plank,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Pause,,15 sec,15 sec ,15 sec ,,,,,,,
,,,,,,,,,,,,
3,Zeit,,45,45,45,,,Bemerkung,Technik,,,
Side Plank,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Pause,,15 sec,15 sec ,15 sec ,,,,,,,
,,,,,,,,,,,,
4,Zeit,,60,60,60,,,,,,,
Bridging einbeinig,Zeit,,,,,,,,,,,
alternierend,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Pause,,15 sec,15 sec ,15 sec ,,,,,,,
,,,,,,,,,,,,
5,Zeit,,60,60,60,,,Bemerkung,Technik,,,
Schulter touch,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Pause,,15 sec,15 sec ,15 sec ,,,,,,,
,,,,,,,,,,,,
6,Zeit,,60,60,60,,,Bemerkung,Technik,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Pause,,15 sec,15 sec ,15 sec ,,,,,,,
,,,,,,,,,,,,
7,Zeit,,30,30,30,,,Bemerkung,Technik,,,
Side Plank statisch,Zeit,,,,,,,,,,,
Bein halten,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Zeit,,,,,,,,,,,
,Pause,,180 sec,180 sec,180 sec,,,,,,,
